ID_DIA,ID_LOJA,ID_POS,NOME_LOJA,DESC_STORE2,ZONA_REGION,DESC_REGIAO,DESC_CITY,MORADA,UNIDAD_DE_NEGOCIO,VALOR_PV,TOTAL_TRANSACCIONES_SIN_CLIENTE,TOTAL_TRANSACCIONES_CLIENTE_ID,TOTAL_TRANSACCIONES_CLIENTE_FE,TOTAL_TRANSACCIONES_CLIENTE_EMPLEADO,TOTAL_TRANSACCIONES_CLIENTE_FIADO,CLIENTE_OK,CLIENTE_ERRADO,TOTAL_POS,TOTAL_TRANSACCIONES_CON_CLIENTE,COBERTURA_ID,COBERTURA_NO_ID,COBERTURA_ERRADOS,TOTAL_ACUMULADO,TOTAL_ID_ACUMULADO,COBERTURA_TOTAL_ID
2024-02-28,1156,002,MEDELLIN PLACITA DE FLOREZ,M/LLIN PLACITA FLORE,ANTIOQUIA,REGION 9,Medellin,CL 50 # 41-46,BdC,11966425.036414566,29,26,0,0,0,23,2,55,26,0.4727272727272727,0.5272727272727272,0.03636363636363636,19531,10316,0.528185960780298
2024-02-28,0799,001,SINCELEJO NUEVO MERCADO,S/LEJO NUEVO MERCADO,NORTE,REGION 6,Sincelejo,CL 25 # 28-118,BdC,25070301.355742298,53,75,5,3,0,75,6,136,83,0.6102941176470589,0.3897058823529412,0.04411764705882353,19531,10316,0.528185960780298
2024-02-28,0290,005,VILLA DEL ROSARIO FRONTERAS LA,VILLA DEL ROSARIO FR,CENTRO,REGION 11,Villa Del Rosario,CL 7 # 8 - 136,BdC,74170491.63025211,4,82,4,0,0,68,12,90,86,0.9555555555555556,0.044444444444444446,0.13333333333333333,19531,10316,0.528185960780298
2024-02-28,1156,001,MEDELLIN PLACITA DE FLOREZ,M/LLIN PLACITA FLORE,ANTIOQUIA,REGION 9,Medellin,CL 50 # 41-46,BdC,11669075.162464986,97,36,2,0,0,26,10,135,38,0.2814814814814815,0.7185185185185186,0.07407407407407407,19531,10316,0.528185960780298
2024-02-28,0799,002,SINCELEJO NUEVO MERCADO,S/LEJO NUEVO MERCADO,NORTE,REGION 6,Sincelejo,CL 25 # 28-118,BdC,8775181.764705881,55,74,1,0,0,71,3,130,75,0.5769230769230769,0.4230769230769231,0.023076923076923078,19531,10316,0.528185960780298
2024-02-28,0290,004,VILLA DEL ROSARIO FRONTERAS LA,VILLA DEL ROSARIO FR,CENTRO,REGION 11,Villa Del Rosario,CL 7 # 8 - 136,BdC,2604229.4901960786,10,68,0,0,0,58,10,78,68,0.8717948717948718,0.1282051282051282,0.1282051282051282,19531,10316,0.528185960780298
2024-02-28,1126,001,CERETE MERCADO,CERETE MERCADO,NORTE,REGION 6,Cereté,CR 12 # 7 - 39,BdC,21261441.82913165,71,61,1,0,0,45,4,133,62,0.46616541353383456,0.5338345864661654,0.03007518796992481,19531,10316,0.528185960780298
2024-02-28,0290,001,VILLA DEL ROSARIO FRONTERAS LA,VILLA DEL ROSARIO FR,CENTRO,REGION 11,Villa Del Rosario,CL 7 # 8 - 136,BdC,21785369.43697479,40,332,0,1,0,259,54,373,333,0.8927613941018767,0.10723860589812333,0.1447721179624665,19531,10316,0.528185960780298
2024-02-28,1126,002,CERETE MERCADO,CERETE MERCADO,NORTE,REGION 6,Cereté,CR 12 # 7 - 39,BdC,4428687.411764706,45,14,1,0,0,3,1,60,15,0.25,0.75,0.016666666666666666,19531,10316,0.528185960780298
2024-02-28,0290,002,VILLA DEL ROSARIO FRONTERAS LA,VILLA DEL ROSARIO FR,CENTRO,REGION 11,Villa Del Rosario,CL 7 # 8 - 136,BdC,4542025.904761905,14,131,0,1,0,107,20,146,132,0.9041095890410958,0.0958904109589041,0.136986301369863,19531,10316,0.528185960780298
